,n-gram-reduced-more,accuracy,f1score,time
0,1,0.7133333333333334,0.7079280088581105,0.1512446403503418
0,2,0.6533333333333333,0.6353428548267513,28.84210753440857
0,3,0.5533333333333333,0.5439768881911738,67.46700978279114
0,4,0.4066666666666667,0.36917373050460545,71.12255263328552
