,n-gram,accuracy,f1score,time
0,1,0.71,0.7055644589978652,2.1528403759002686
0,2,0.66,0.636720477162955,47.05494546890259
0,3,0.5433333333333333,0.5381913055710481,89.68664407730103
0,4,0.39666666666666667,0.3468471675878438,85.42768979072571
