,stem,accuracy,f1score
0,stem,0.71,0.7055644589978652
0,lemmatize,0.7166666666666667,0.7126600723323121
0,stem,0.71,0.7055644589978652
0,lemmatize,0.7166666666666667,0.7126600723323121
