,Cutoff,accuracy,f1score,features
0,0,0.7225,0.7174937358828606,27579
0,1,0.7325,0.7286092722020315,13956
0,2,0.73,0.7267506358701172,10457
0,3,0.7275,0.7239697369937127,8624
0,4,0.735,0.7314463603623268,7433
0,5,0.735,0.7321482708169934,6598
0,6,0.73,0.7268305803107783,5991
0,7,0.735,0.7323780298357043,5464
0,8,0.735,0.7324836758255475,5070
0,9,0.7325,0.7292520658885383,4713
0,10,0.7325,0.7297295746249328,4411
0,11,0.73,0.7273969279898773,4146
0,12,0.73,0.7273969279898773,3910
0,13,0.73,0.7270992682835541,3722
0,14,0.7275,0.7247603288429442,3549
0,15,0.725,0.7225645411396587,3397
0,16,0.73,0.7273139690125991,3280
0,17,0.73,0.7272237824747395,3163
0,18,0.73,0.7271515410108269,3050
0,19,0.7275,0.7247363452888098,2934
0,20,0.73,0.7274505462342483,2828
0,21,0.7325,0.7301653203639504,2746
0,22,0.725,0.72269849806932,2656
0,23,0.725,0.7227668578159998,2586
0,24,0.73,0.7274744730757127,2512
0,25,0.73,0.7274744730757127,2452
0,26,0.7275,0.725246509187764,2391
0,27,0.73,0.7274896446882748,2332
0,28,0.725,0.7222580039661258,2288
0,29,0.725,0.7225228223936443,2241
0,30,0.7275,0.7254076835791863,2193
0,31,0.715,0.7119985487333201,2136
0,32,0.715,0.7120710758583527,2093
0,33,0.7175,0.714853458689075,2051
0,34,0.7175,0.714853458689075,2021
0,35,0.7175,0.714853458689075,1976
0,36,0.715,0.7123858625429341,1937
0,37,0.72,0.7181857958570808,1893
0,38,0.72,0.7181857958570808,1849
0,39,0.72,0.7181857958570808,1809
0,40,0.7225,0.7206000366911183,1770
0,41,0.7225,0.7206000366911183,1729
0,42,0.725,0.7230775517371805,1706
0,43,0.7225,0.7207429611485786,1674
0,44,0.7225,0.7207429611485786,1651
0,45,0.72,0.7181866460301944,1627
0,46,0.715,0.7128772784412319,1597
0,47,0.7125,0.7108795778603575,1554
0,48,0.71,0.7079236687291675,1529
0,49,0.7125,0.7104293199731982,1507
0,0,0.7225,0.7174937358828606,27579
0,1,0.7325,0.7286092722020315,13956
0,2,0.73,0.7267506358701172,10457
0,3,0.7275,0.7239697369937127,8624
0,4,0.735,0.7314463603623268,7433
0,5,0.735,0.7321482708169934,6598
0,6,0.73,0.7268305803107783,5991
0,7,0.735,0.7323780298357043,5464
0,8,0.735,0.7324836758255475,5070
0,9,0.7325,0.7292520658885383,4713
0,10,0.7325,0.7297295746249328,4411
0,11,0.73,0.7273969279898773,4146
0,12,0.73,0.7273969279898773,3910
0,13,0.73,0.7270992682835541,3722
0,14,0.7275,0.7247603288429442,3549
0,15,0.725,0.7225645411396587,3397
0,16,0.73,0.7273139690125991,3280
0,17,0.73,0.7272237824747395,3163
0,18,0.73,0.7271515410108269,3050
0,19,0.7275,0.7247363452888098,2934
0,20,0.73,0.7274505462342483,2828
0,21,0.7325,0.7301653203639504,2746
0,22,0.725,0.72269849806932,2656
0,23,0.725,0.7227668578159998,2586
0,24,0.73,0.7274744730757127,2512
0,25,0.73,0.7274744730757127,2452
0,26,0.7275,0.725246509187764,2391
0,27,0.73,0.7274896446882748,2332
0,28,0.725,0.7222580039661258,2288
0,29,0.725,0.7225228223936443,2241
0,30,0.7275,0.7254076835791863,2193
0,31,0.715,0.7119985487333201,2136
0,32,0.715,0.7120710758583527,2093
0,33,0.7175,0.714853458689075,2051
0,34,0.7175,0.714853458689075,2021
0,35,0.7175,0.714853458689075,1976
0,36,0.715,0.7123858625429341,1937
0,37,0.72,0.7181857958570808,1893
0,38,0.72,0.7181857958570808,1849
0,39,0.72,0.7181857958570808,1809
0,40,0.7225,0.7206000366911183,1770
0,41,0.7225,0.7206000366911183,1729
0,42,0.725,0.7230775517371805,1706
0,43,0.7225,0.7207429611485786,1674
0,44,0.7225,0.7207429611485786,1651
0,45,0.72,0.7181866460301944,1627
0,46,0.715,0.7128772784412319,1597
0,47,0.7125,0.7108795778603575,1554
0,48,0.71,0.7079236687291675,1529
0,49,0.7125,0.7104293199731982,1507
