,n-gram-reduced,accuracy,f1score,time
0,1,0.7066666666666667,0.7008008008008009,0.3460886478424072
0,2,0.6533333333333333,0.6301456302917403,35.84712243080139
0,3,0.55,0.5427214216251222,74.48830604553223
0,4,0.4,0.3575465345282573,74.32472610473633
