,cutoff,accuracy,f1score,features
0,1,0.7166666666666667,0.7145148905709839,13103
0,2,0.71,0.706799647520628,9817
0,3,0.7066666666666667,0.7031871221080351,8040
0,4,0.7033333333333334,0.6984934274249343,6916
0,5,0.6933333333333334,0.6884253928751394,6085
0,6,0.7,0.6944438984438984,4982
0,7,0.7,0.6944438984438984,4982
0,8,0.7033333333333334,0.6975976078654447,4581
0,9,0.7133333333333334,0.7071004337671004,4235
0,10,0.71,0.7044185863611947,3968
0,11,0.7133333333333334,0.7081615066655718,3758
0,12,0.72,0.7158694968895439,3536
0,13,0.72,0.7172843413570903,3168
0,14,0.72,0.7172843413570903,3168
0,15,0.7266666666666667,0.7235832244028755,3030
0,16,0.73,0.7275598185260601,2921
0,17,0.7366666666666667,0.7337682084092962,2816
0,18,0.7333333333333333,0.7301210201323505,2717
0,19,0.73,0.7269975295834616,2631
0,20,0.7266666666666667,0.723341940342873,2541
0,21,0.74,0.7377359108781127,2452
0,22,0.7366666666666667,0.7346778069025774,2381
0,23,0.73,0.7272134038800705,2315
0,24,0.7266666666666667,0.7244046025751453,2188
0,25,0.7266666666666667,0.7244046025751453,2188
0,26,0.7266666666666667,0.7247784473590925,2127
0,27,0.7266666666666667,0.7249726976776949,2028
0,28,0.7266666666666667,0.7249726976776949,2028
0,29,0.7266666666666667,0.7249726976776949,1981
0,30,0.7333333333333333,0.7317073138986123,1872
0,31,0.7333333333333333,0.7317073138986123,1872
0,32,0.73,0.7279069767441859,1829
